alpha,total_mwh,total_economic_objective,sim_nox_breach_rate,sim_tit_breach_rate,sim_co_breach_rate,sim_any_breach_rate,sim_any_breach_indicator,conf_nox_violation_rate,conf_tit_violation_rate,conf_co_violation_rate,conf_any_violation_rate,mean_tey,std_tey,feasible_hours,infeasible_hours,feasible_fraction,infeasible_fraction
0.05,164691.6763076923,1417482.6093834233,0.0008264462809917355,0.01818181818181818,0.013223140495867768,0.032231404958677684,1.0,0.05454545454545454,0.0652892561983471,0.048760330578512395,0.15950413223140497,29.884172801250646,56.3902450016592,1210,4301,0.21956087824351297,0.780439121756487
0.07,260152.3974358974,2239864.7672694353,0.0005254860746190226,0.0162900683131897,0.005254860746190226,0.02207041513399895,1.0,0.06463478717813978,0.0625328428796637,0.0651602732527588,0.17866526537046767,47.20602384973642,65.0669968692658,1903,3608,0.34530938123752497,0.654690618762475
0.1,472129.1986153845,4070498.6526968093,0.001176470588235294,0.027647058823529413,0.006764705882352941,0.03529411764705882,1.0,0.09441176470588235,0.09705882352941177,0.1011764705882353,0.26705882352941174,85.67033181190065,67.64944897872518,3400,2111,0.6169479223371439,0.3830520776628561
0.15,665568.7192820512,5755072.15003143,0.0008602150537634409,0.0556989247311828,0.012688172043010752,0.0675268817204301,1.0,0.1460215053763441,0.1589247311827957,0.15483870967741936,0.3961290322580645,120.7709525098986,52.33230135489528,4650,861,0.8437670114316821,0.1562329885683179
0.2,838757.6936923075,7303094.638282441,0.0023748629886737303,0.13554987212276215,0.00876872488125685,0.14559736938253562,1.0,0.18998903909389842,0.20168067226890757,0.2000365363536719,0.48684691267811475,152.1970048434599,14.368695573865743,5474,37,0.9932861549628017,0.006713845037198331
